 
****************************************
Report : cell
Design : loss
Version: I-2013.12-SP4
Date   : Tue Dec 11 15:54:52 2018
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
L1_0/abs_reg[0][0]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][1]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][2]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][3]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][4]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][5]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][6]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][7]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][8]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][9]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][10]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][11]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][12]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][13]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][14]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][15]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][16]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][17]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][18]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[0][19]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][0]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][1]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][2]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][3]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][4]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][5]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][6]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][7]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][8]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][9]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][10]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][11]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][12]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][13]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][14]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][15]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][16]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][17]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][18]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[1][19]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][0]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][1]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][2]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][3]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][4]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][5]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][6]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][7]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][8]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][9]        **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][10]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][11]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][12]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][13]       **FFGEN**                       0.000000  n, u
L1_0/abs_reg[2][14]       **FFGEN**                       0.000000  n, u
